H,MSANT,2025/08/29,MSANT,80
MSANT0000013,MSANT00001,2025/08/29,RJPS2,RJPS2,MCAACCSIC,1A,AXP,*,4995.00,0,0.00000000,0,,,,,0,0.000000,0,MXN,ACCIONES,27589932.00,1.00000000,SERVICIOS FINANCIEROS,,,,,5190,SANTANDER ASSET MANAGEMENT,021,NACIONAL,1,,NACIONAL,0.00000000,0.00000000,02,MANDATOIMSS,MSANT,0.00000,695882000,0.000,0,27589932.00
MSANT0000014,MSANT00001,2025/08/29,RJPS2,RJPS2,MCAACCRNV,1,BIMBO,A,943000.00,0,0.00000000,0,,,,,0,0.000000,0,MXN,ACCIONES,52293021.00,1.00000000,PRODUCTOS DE CONSUMO FRECUENTE,,,,,5190,SANTANDER ASSET MANAGEMENT,021,NACIONAL,1,,NACIONAL,0.00000000,0.00000000,02,MANDATOIMSS,MSANT,0.00000,4304740000,0.000,0,52293021.00
MSANT0000015,MSANT00001,2025/08/29,RJPS2,RJPS2,MCAACCRNV,1,BOLSA,A,655000.00,0,0.00000000,0,,,,,0,0.000000,0,MXN,ACCIONES,27144864.00,1.00000000,SERVICIOS FINANCIEROS,,,,,5190,SANTANDER ASSET MANAGEMENT,021,NACIONAL,1,,NACIONAL,0.00000000,0.00000000,02,MANDATOIMSS,MSANT,0.00000,559083000,0.000,0,27144864.00
MSANT0000080,MSANT00001,2025/08/29,RJPS2,RJPS2,BANFON,IS,BPA182,280412,462475.00,0,0.00000000,0,,,2025/08/29,2025/09/01,3,0.000000,7.80000,MXN,0,47646687.56,1.00000000,,,,,,5190,SANTANDER ASSET MANAGEMENT,021,NACIONAL,2,,NACIONAL,0.00000000,0.00000000,02,MANDATOIMSS,MSANT,0.00000,0,0.000,100,47646687.56
MSANT0000016,MSANT00001,2025/08/29,RJPS2,RJPS2,MCAACCSIC,1A,CAT,*,7002.00,0,0.00000000,0,,,,,0,0.000000,0,MXN,ACCIONES,40772296.00,1.00000000,INDUSTRIAL,,,,,5190,SANTANDER ASSET MANAGEMENT,021,NACIONAL,1,,NACIONAL,0.00000000,0.00000000,02,MANDATOIMSS,MSANT,0.00000,468478000,0.000,0,40772296.00
MSANT0000017,MSANT00001,2025/08/29,RJPS2,RJPS2,MCAACCRNV,1,CEMEX,CPO,5970000.00,0,0.00000000,0,,,,,0,0.000000,0,MXN,ACCIONES,82202604.00,1.00000000,MATERIALES,,,,,5190,SANTANDER ASSET MANAGEMENT,021,NACIONAL,1,,NACIONAL,0.00000000,0.00000000,02,MANDATOIMSS,MSANT,0.00000,15137400000,0.000,0,82202604.00
MSANT0000018,MSANT00001,2025/08/29,RJPS2,RJPS2,MCAACCRNV,1,CHDRAUI,B,250000.00,0,0.00000000,0,,,,,0,0.000000,0,MXN,ACCIONES,37878139.00,1.00000000,PRODUCTOS DE CONSUMO FRECUENTE,,,,,5190,SANTANDER ASSET MANAGEMENT,021,NACIONAL,1,,NACIONAL,0.00000000,0.00000000,02,MANDATOIMSS,MSANT,0.00000,960772000,0.000,0,37878139.00
MSANT0000019,MSANT00001,2025/08/29,RJPS2,RJPS2,MCAACCSIC,1A,CMG,*,24700.00,0,0.00000000,0,,,,,0,0.000000,0,MXN,ACCIONES,26090595.00,1.00000000,SERVICIOS Y BIENES DE CONSUMO NO BASICO,,,,,5190,SANTANDER ASSET MANAGEMENT,021,NACIONAL,1,,NACIONAL,0.00000000,0.00000000,02,MANDATOIMSS,MSANT,0.00000,1340890000,0.000,0,26090595.00
MSANT0000020,MSANT00001,2025/08/29,RJPS2,RJPS2,MCAACCSIC,1A,COST,*,1988.00,0,0.00000000,0,,,,,0,0.000000,0,MXN,ACCIONES,34623962.00,1.00000000,PRODUCTOS DE CONSUMO FRECUENTE,,,,,5190,SANTANDER ASSET MANAGEMENT,021,NACIONAL,1,,NACIONAL,0.00000000,0.00000000,02,MANDATOIMSS,MSANT,0.00000,443477000,0.000,0,34623962.00
MSANT0000021,MSANT00001,2025/08/29,RJPS2,RJPS2,MCAACCSIC,1A,CRM,*,12605.00,0,0.00000000,0,,,,,0,0.000000,0,MXN,ACCIONES,53614693.00,1.00000000,TECNOLOGIA DE LA INFORMACION,,,,,5190,SANTANDER ASSET MANAGEMENT,021,NACIONAL,1,,NACIONAL,0.00000000,0.00000000,02,MANDATOIMSS,MSANT,0.00000,955999000,0.000,0,53614693.00
