Contraparte,Contrato,Fondo,TipoValor,Emisora,Serie,Tasa,Titulos,Precio,Plazo,Monto_neto,Fecha_operacion
BANORTE,0057253852 Servicio de Inversión por operación: -,FONDO SUPER DE DEUDA BASICO, S.A. DE C.V. SOCIEDAD DE INVERSIÓN EN INSTRUMENTOS DE DEUDA,LF,BONDESF,280420,7.7600,25084985,99.661211,1,2499999983.02,20/08/25
BANORTE,0500092291 Servicio de Inversión por operación: -,FONDO BS CONSERVADOR, S.A. DE.V. SOCIEDAD DE INVERSIÓN DERENTA VARIABLE,2U,CBIC002,300117,7.5100,1562504,959.997473,1,1499999891.55,20/08/25
